402,0.10000000000000014
585,1.1000000000000003
844,1.0999999999999996
1035,1.1000000000000003
1295,3.099999999999999
1445,0.09999999999999992
1506,0.09999999999999987
1675,2.0999999999999996
1947,1.0999999999999996
2023,1.1
2361,-0.8999999999999999
2581,1.1
2772,1.1000000000000003
3070,-0.9
3217,1.1000000000000003
3246,-0.9000000000000001
3450,1.1000000000000003
3643,0.09999999999999992
3793,1.1000000000000003
3975,1.1
4214,1.0999999999999999
4387,1.1000000000000003
4725,1.0999999999999992
4801,1.1
4970,1.1000000000000003
5136,-0.9000000000000001
5314,1.1000000000000003
5467,1.1000000000000003
5667,1.1
5847,1.1
6029,1.1
6209,1.1
6251,1.1
6366,-0.9
6549,2.099999999999999
6734,1.1000000000000003
6900,1.1000000000000003
7060,2.099999999999999
7222,1.1
7270,0.10000000000000003
7407,1.1000000000000003
7573,2.099999999999999
7745,0.09999999999999998
7927,2.1
8017,-0.9000000000000001
8132,1.1000000000000003
8309,1.1000000000000003
8476,-0.9000000000000001
8631,1.1000000000000003
8808,1.1
9049,1.0999999999999999
9162,1.1000000000000003
9334,1.1000000000000003
9494,1.1000000000000003
9704,1.1
9857,1.1000000000000003
10082,1.1000000000000003
10231,-0.8999999999999999
10441,-0.9
10611,1.1000000000000003
10727,2.099999999999999
10953,-0.8999999999999999
11206,2.099999999999999
11281,1.1
11461,1.1
11626,1.1
11674,-0.9
11823,1.1000000000000003
11995,1.1
12051,1.1000000000000003
12389,2.099999999999999
12542,1.1
12765,1.1
12861,-0.8999999999999999
13046,1.1000000000000003
13107,1.1000000000000003
13260,2.099999999999999
13527,1.0999999999999996
13721,1.1000000000000003
13963,1.0999999999999999
13998,1.1
14150,2.1
14246,-0.8999999999999999
14417,1.1000000000000003
14480,1.1000000000000003
14657,1.1000000000000003
14805,1.1
14959,1.1000000000000003
15159,2.0999999999999996
15315,1.1
15374,1.1000000000000003
15500,-0.9
15688,2.0999999999999996
15855,1.1000000000000003
16225,1.0999999999999996
16397,3.099999999999999
16490,1.1000000000000003
16668,2.099999999999999
16843,2.099999999999999
17013,2.099999999999999
17232,-0.8999999999999999
17448,2.0999999999999996
17707,1.0999999999999996
17778,1.1000000000000003
17963,1.1000000000000003
18185,2.099999999999999
18375,1.1000000000000003
18529,2.099999999999999
18735,1.1
18971,0.10000000000000006
19135,1.1000000000000003
19311,1.1
19391,1.1000000000000003
19587,0.10000000000000009
19738,1.1000000000000003
19934,1.1000000000000003
20151,1.1
20312,1.1000000000000003
20488,1.1000000000000003
20694,2.0999999999999996
20867,1.1000000000000003
21072,1.1000000000000003
